index,district,ward,type_of_housing,legal_paper,price
9171,Hà Đông,Phúc La,"Nhà ngõ, hẻm",Giấy tờ khác,45.65
40032,Hai Bà Trưng,Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,68.18
81264,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,83.33
5745,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,80.56
34050,Ba Đình,Điện Biên,"Nhà ngõ, hẻm",Đã có sổ,65.48
15628,Nam Từ Liêm,Xuân Phương,Nhà phố liền kề,Đã có sổ,87.8
75333,Đống Đa,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,100.0
38529,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,45.43
6107,Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,103.33
26914,Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,71.79
17752,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,105.88
59144,Hoàn Kiếm,Hàng Bạc,"Nhà mặt phố, mặt tiền",Đã có sổ,137.5
76260,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,80.26
34298,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,58.65
60028,Nam Từ Liêm,Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,42.86
4374,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,58.57
31882,Hoàng Mai,Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,64.55
56546,Bắc Từ Liêm,Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,37.0
38646,Đống Đa,Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,166.67
69427,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,87.1
10689,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,80.95
9611,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,78.75
72762,Cầu Giấy,Mai Dịch,Nhà phố liền kề,Đã có sổ,123.81
47308,Hà Đông,Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,55.26
